NAME,X,Y,Z
T9_L1,-0.0531442578883757,-0.0100906818775397,-0.0295993335074497
T7_L1,-0.0517419971025712,-0.010220641402977,-0.00574911078917457
C5_L1,-0.0543403382158667,-0.00994030577119513,0.0205432985938033
C3_L1,-0.0468256842294338,-0.00895196904386235,0.0461370712260598
C1_L1,-0.0260766231093079,-0.00775250957303747,0.066248718169593
Cz_L1,0.000710114482173776,-0.00710114482173776,0.0731417916638989
C2_L1,0.0281094832405371,-0.00773010789114769,0.0646518114532352
C4_L1,0.0493440838150545,-0.00833984515184019,0.0465641354311077
C6_L1,0.0540273878819939,-0.00856531759104781,0.0191072469338759
T8_L1,0.0526601800352852,-0.00963295976255217,-0.0057797758575313
T10_L1,0.0562065234976137,-0.0109671265361197,-0.0315304887913443
TP9_L1,-0.0583022935337728,-0.0327061646652872,-0.0312841575059269
TP7_L1,-0.0548300878750748,-0.0304611599305971,-0.00406148799074628
CP5_L1,-0.0556667868303856,-0.0334000720982314,0.0222667147321543
CP3_L1,-0.0467261544041207,-0.0352243317815679,0.049601610059759
CP1_L1,-0.0262417163432023,-0.0349889551242698,0.0677911005532727
CPz_L1,0.000732770569221642,-0.0359057578918605,0.0740098274913859
CP2_L1,0.0285243014676701,-0.0351068325755939,0.0680194881152132
CP4_L1,0.0499327909963501,-0.0354595182437848,0.0492091273587218
CP6_L1,0.0561301702464983,-0.0311834279147213,0.0214819170079191
TP8_L1,0.0546939645652755,-0.029710301739162,-0.004051404782613
TP10_L1,0.0591948546206625,-0.0328067868981985,-0.0313804048591464
P9_L1,-0.0524921900443462,-0.0539503064344669,-0.0291623278024146
P7_L1,-0.0532159975757562,-0.0553734028828815,-0.00143827020475017
P5_L1,-0.0511117165459519,-0.0591435577174587,0.0219050213768365
P3_L1,-0.0387546553472101,-0.0584975929769209,0.0416795349960561
P1_L1,-0.0207118911118651,-0.0606562525418905,0.0562179901607766
Pz_L1,0.000741331247624486,-0.0600478310575833,0.0615304935528323
P2_L1,0.0245523351966892,-0.0602648227555099,0.0580327922830836
P4_L1,0.042009801096463,-0.058961124345913,0.0427468151507869
P6_L1,0.0518263662520745,-0.0583959056361403,0.0218984646135526
P8_L1,0.0539314390313693,-0.0546505248851209,-0.00143817170750318
P10_L1,0.0533371833060832,-0.0540678296527419,-0.029225853866347
PO9_L1,-0.0402800516844389,-0.0738467614214714,-0.0261074409065808
PO7_L1,-0.0414576791790346,-0.0747718856621875,0.00222094709887685
PO5_L1,-0.0363664896458338,-0.0764438455820589,0.0170699849357996
PO3_L1,-0.0275187059678465,-0.0773498762339468,0.0290062035877301
PO1_L1,-0.0141822766126574,-0.0791221747864043,0.0365753449484322
POz_L1,0.00074397287106601,-0.078117151461931,0.0386865892954325
PO2_L1,0.0156719114790544,-0.0791058388942745,0.0358215119521243
PO4_L1,0.0291081617892329,-0.0783681278940887,0.0283617986664321
PO6_L1,0.0378484074732055,-0.0756968149464109,0.0170688896447789
PO8_L1,0.0421489519562359,-0.0739455297477823,0.00221836589243347
PO10_L1,0.0418828513840618,-0.0740428979825379,-0.0261767821150386
O1_L1,-0.0225741462097896,-0.0880391702181796,0.00752471540326321
Oz_L1,0.000752201478510247,-0.0902641774212297,0.012035223656164
O2_L1,0.0232812938069595,-0.087117099406687,0.00751009477643854
O9_L1,-0.0226993155512819,-0.0877706867982901,-0.0219426716995725
O10_L1,0.023527890604131,-0.0887988129252688,-0.0220099621780581
T3_L1,-0.0517419971025712,-0.010220641402977,-0.00574911078917457
T5_L1,-0.0532159975757562,-0.0553734028828815,-0.00143827020475017
T4_L1,0.0526601800352852,-0.00963295976255217,-0.0057797758575313
T6_L1,0.0539314390313693,-0.0546505248851209,-0.00143817170750318
Fp1_L2,-0.0092552992860413,0.0264893048531527,-0.00191488950745682
Fpz_L2,0.000325927790640707,0.0290075733670229,-0.000325927790640707
Fp2_L2,0.00988167419728198,0.0276686877523895,-0.00230572397936579
AF9_L2,-0.0167288859350291,0.0219566627897257,-0.0163803674780494
AF7_L2,-0.0160282543599967,0.0202621328701846,-0.00302419893584844
AF5_L2,-0.0132791680417391,0.0212466688667826,0.00177055573889855
AF3_L2,-0.0107881885100215,0.0247493736406376,0.00698059256530804
AF1_L2,-0.00607630304811098,0.0276809361080611,0.0114774613130985
AFz_L2,0.000346357137866817,0.0290939995808126,0.0128152141010722
AF2_L2,0.00718716626915388,0.0280641730509818,0.0116363644357729
AF4_L2,0.0121516753424674,0.0256170453165528,0.00755374413180404
AF6_L2,0.0142822123658196,0.0218791338370003,0.00182326115308336
AF8_L2,0.0166001670904059,0.0205965036121703,-0.00307410501674184
AF10_L2,0.0183412993541792,0.0226568992022214,-0.0169027660714985
F9_L2,-0.0240680367920537,0.0141576687012081,-0.0173431441589799
F7_L2,-0.0182167872465473,0.0110884791935505,-0.00290412550307275
F5_L2,-0.0207240429847492,0.0152382669005509,0.00548577608419832
F3_L2,-0.0145410878485541,0.0154135531194674,0.0125053355497565
F1_L2,-0.00935289103081365,0.0193738457066854,0.0210440048193307
Fz_L2,0.000359048977736384,0.0219019876419195,0.0254924774192833
F2_L2,0.0107190110824676,0.0204006985117932,0.0217837967159826
F4_L2,0.0160482282921083,0.0163510250523367,0.0124146671693668
F6_L2,0.0169834044150474,0.0120190246629566,0.00418053031755012
F8_L2,0.0201232201630987,0.0121873023522992,-0.00311768199709979
F10_L2,0.0273594171885866,0.0155796681212785,-0.0189995952698518
FT9_L2,-0.0279436338592864,0.00459831949583194,-0.0166246935618539
FT7_L2,-0.0203472337287286,0.00334827896801863,-0.00283315912678499
FC5_L2,-0.0194994018236628,0.00467985643767907,0.0064998006078876
FC3_L2,-0.0187351425442275,0.00706407013962677,0.0175066086069011
FC1_L2,-0.0119456237467151,0.00913488874748799,0.0288100337420775
FCz_L2,0.00036985079451131,0.0103558222463167,0.0336564223005292
FC2_L2,0.0129073090787237,0.00968048180904275,0.0293999817904261
FC4_L2,0.0200537723532694,0.00732121847817772,0.0181438892720057
FC6_L2,0.0212441968629749,0.00524207455060418,0.00662156785339476
FT8_L2,0.0225221305683773,0.00417076492006988,-0.00305856094138458
FT10_L2,0.0298675942924829,0.00479356451607751,-0.0176993151362862
T9_L2,-0.0272885157767514,-0.00518136375507937,-0.0151986670148995
T7_L2,-0.0224839942051423,-0.00444128280595403,-0.00249822157834914
C5_L2,-0.0266806764317335,-0.00488061154239027,0.0100865971876066
C3_L2,-0.0256513684588676,-0.00490393808772469,0.0252741424521196
C1_L2,-0.0151532462186157,-0.00450501914607495,0.0384974363391859
Cz_L2,0.000420228964347552,-0.00420228964347552,0.0432835833277978
C2_L2,0.0162189664810741,-0.00446021578229538,0.0373036229064704
C4_L2,0.0276881676301089,-0.00467969030368038,0.0261282708622155
C6_L2,0.0260547757639878,-0.00413063518209563,0.00921449386775178
T8_L2,0.0233203600705704,-0.00426591952510434,-0.0025595517150626
T10_L2,0.0304130469952273,-0.00593425307223948,-0.0170609775826885
TP9_L2,-0.0346045870675456,-0.0194123293305744,-0.0185683150118538
TP7_L2,-0.0286601757501497,-0.0159223198611943,-0.00212297598149257
CP5_L2,-0.0313335736607712,-0.0188001441964627,0.0125334294643085
CP3_L2,-0.0284523088082415,-0.0214486635631359,0.0302032201195179
CP1_L2,-0.0164834326864047,-0.0219779102485395,0.0425822011065453
CPz_L2,0.000465541138443284,-0.0228115157837209,0.0470196549827717
CP2_L2,0.0180486029353401,-0.0222136651511878,0.0430389762304264
CP4_L2,0.0308655819927002,-0.0219190364875697,0.0304182547174437
CP6_L2,0.0312603404929966,-0.0173668558294426,0.0119638340158382
TP8_L2,0.028387929130551,-0.015420603478324,-0.002102809565226
TP10_L2,0.0353897092413249,-0.0196135737963969,-0.0187608097182927
P9_L2,-0.0329843800886924,-0.0339006128689339,-0.0183246556048291
P7_L2,-0.0324319951515125,-0.033746805765763,-0.000876540409500338
P5_L2,-0.0322234330919039,-0.0372871154349173,0.0138100427536731
P3_L2,-0.0245093106944202,-0.0369951859538418,0.0263590699921123
P1_L2,-0.0134237822237301,-0.039312505083781,0.0364359803215531
Pz_L2,0.000482662495248971,-0.0390956621151667,0.0400609871056646
P2_L2,0.0161046703933785,-0.0395296455110198,0.0380655845661672
P4_L2,0.027019602192926,-0.037922248691826,0.0274936303015738
P6_L2,0.032652732504149,-0.0367918112722806,0.0137969292271052
P8_L2,0.0328628780627386,-0.0333010497702418,-0.000876343415006364
P10_L2,0.0336743666121664,-0.0341356593054838,-0.0184517077326939
PO9_L2,-0.0265601033688779,-0.0486935228429428,-0.0172148818131616
PO7_L2,-0.0269153583580692,-0.0485437713243749,0.00144189419775371
PO5_L2,-0.0237329792916677,-0.0498876911641178,0.0111399698715991
PO3_L2,-0.018037411935693,-0.0506997524678937,0.0190124071754601
PO1_L2,-0.00936455322531474,-0.0522443495728086,0.0241506898968643
POz_L2,0.000487945742132019,-0.051234302923862,0.025373178590865
PO2_L2,0.0103438229581088,-0.0522116777885491,0.0236430239042486
PO4_L2,0.0192163235784659,-0.0517362557881773,0.0187235973328642
PO6_L2,0.0246968149464109,-0.0493936298928219,0.0111377792895579
PO8_L2,0.0272979039124718,-0.0478910594955645,0.00143673178486694
PO10_L2,0.0277657027681236,-0.0490857959650757,-0.0173535642300773
O1_L2,-0.0151482924195793,-0.0590783404363592,0.00504943080652643
Oz_L2,0.000504402957020495,-0.0605283548424594,0.00807044731232792
O2_L2,0.0155625876139189,-0.0582341988133741,0.00502018955287707
O9_L2,-0.0153986311025639,-0.0595413735965803,-0.0148853433991451
O10_L2,0.0160557812082621,-0.0605976258505375,-0.0150199243561161
T3_L2,-0.0224839942051423,-0.00444128280595403,-0.00249822157834914
T5_L2,-0.0324319951515125,-0.033746805765763,-0.000876540409500338
T4_L2,0.0233203600705704,-0.00426591952510434,-0.0025595517150626
T6_L2,0.0328628780627386,-0.0333010497702418,-0.000876343415006364
