label,x,y,z
Fp1,-29.3691867953116,83.7246357513188,-6.9739684033613
Fpz,0.1132368174014,88.9831649619292,-1.7272900107628
Fp2,29.4500026779134,83.6957476439332,-6.9799117898396
AF9,-46.516309472100396,60.8750526517923,-45.2930559549397
AF7,-55.1867538623218,69.0061601941276,-10.657018973517099
AF5,-46.975541607373394,75.3398320453958,6.181278028489
AF3,-34.656157217894396,79.0155283945757,21.8288121393397
AF1,-18.616138331305198,80.52890523549209,33.0081022660019
AFz,0.2334109839868,81.50816509989251,35.7402370076252
AF2,19.8281628188902,80.3337561927033,32.776997653825504
AF4,35.9911176353291,78.3327315858073,22.1274176908596
AF6,47.3895500747285,75.0836319104407,6.1383029293326
AF8,55.2090061527679,68.9891466738087,-10.651914421518299
AF10,47.507024782680105,60.1616365448104,-45.217917737860795
F9,-65.244267480354,38.766050597372505,-46.4906321965402
F7,-75.4388048745776,45.603162264641405,-12.261252405859599
F5,-69.83642266065911,52.0371036027096,18.330682436904702
F3,-52.974606844807504,55.997853248678304,44.4851824901007
F1,-27.999950797207898,57.9749634064448,61.4484041564574
Fz,0.313789631567,58.809926080232,66.8004051672201
F2,29.8687284871407,58.293821666975,60.255202381374396
F4,53.989415682139494,56.560558465617596,42.5093662662549
F6,70.4395897807457,51.6826175806772,16.9756069561515
F8,75.3036149411916,45.7964488340874,-12.3713722349448
F10,65.7953823752185,38.3807689725533,-46.0313396630413
FT9,-75.49467341552659,13.0804850860473,-45.2819522083212
FT7,-86.8732350076635,15.186334141488201,-11.975654247110299
FC5,-82.6827281337775,19.9634902773487,26.1920889640755
FC3,-63.022613562471896,23.7884529103904,58.1657948272477
FC1,-33.4067869786,25.510828132871698,78.44860885791111
FCz,0.3606883012557,26.2676218330095,85.0345926502111
FC2,34.3560747900377,26.1125764269174,77.8382520189767
FC4,63.8564556680727,24.3181656800281,57.026133372956
FC6,82.7329125605923,20.737501586542102,25.420881322046203
FT8,86.6619953468431,16.330017119867602,-12.001212579092801
FT10,75.4842910501872,12.8910858789965,-45.3535192626875
T9,-76.6006687004464,-14.1160918463405,-43.0589538380826
T7,-86.9147748841962,-16.5428173400475,-9.6517926461001
C5,-82.58775525393031,-14.1552232242798,29.9982055727958
C3,-62.91200822345749,-11.1963720801674,61.949337958803596
C1,-33.0819761436915,-9.1345522877648,82.1166414859395
Cz,0.3544507349905,-8.104888719527,88.62948236067129
C2,34.713878089944004,-8.8683859132891,81.4696164177141
C4,64.1679087004391,-10.4212058960038,60.785507817943
C6,83.14041411462,-12.728002128700501,29.0975858562405
T8,87.1206375790449,-15.3805788750166,-9.7176283778558
T10,76.4613805202401,-14.6214241146355,-43.1378168872627
TP9,-70.8016285227005,-38.4646961224218,-37.7967796345571
TP7,-78.0209129499204,-42.3275561003906,-6.4896176335154
CP5,-72.8318302821976,-42.5967956899985,28.3202665010357
CP3,-55.0558979748937,-40.7216242746134,56.8471407778379
CP1,-29.0518415664436,-38.687605029583196,74.7011359931911
CPz,0.3118141883974,-38.243711162755,80.36368165043021
CP2,31.296446976058803,-38.3813165488752,73.9486777883809
CP4,56.7506909465735,-39.7331001986665,55.8716370414294
CP6,74.0023906652632,-40.9449437335307,27.715659084419702
TP8,78.3484383055065,-41.711901594829904,-6.529891303189
TP10,70.7730846490868,-38.6346764853472,-37.676680614483004
P9,-58.2289090821264,-58.83217944398049,-32.698146873741
P7,-62.4735128938322,-63.3518678379827,-2.1450007326219
P5,-56.6972698796626,-64.29800091877901,23.9204236175155
P3,-42.805421130225,-63.6241604255253,45.1736884924301
P1,-22.3456626852813,-62.870838291911795,58.8976149909986
Pz,0.2495968491636,-62.3530902984526,63.50614010980279
P2,24.5573808074403,-61.9226485457735,59.0213575322948
P4,44.3668548867184,-62.6131779550714,45.079619938808605
P6,57.195583119207605,-63.949591748656495,23.6667485479941
P8,62.90807186048231,-62.9189216874697,-2.1871873450754
P10,58.3732359886214,-58.764735998175,-32.5618046686836
PO9,-41.4725470377499,-74.050955371055,-26.785889024552702
PO7,-43.6081682090151,-77.5525537427153,2.2201516699289003
PO5,-38.2731359726541,-78.5158710491454,17.071176181292
PO3,-28.6261675967218,-79.07207113436961,29.1401800825868
PO1,-14.8770204857192,-79.80037426950071,36.4907457845834
POz,0.1682833053727,-79.7534859757622,39.5013057435199
PO2,15.5705353246476,-79.7365628799179,36.3405967177314
PO4,28.880187530236,-79.1847260656286,28.578207188866198
PO6,39.1243525395848,-78.0970596931088,17.062658223421302
PO8,44.0721983272295,-77.2914596708909,2.1613876441768
PO10,41.496558802023095,-74.0247455627292,-26.821123242016398
O1,-22.457251861110898,-85.8552739407911,6.7486128499377
Oz,0.0826811984800324,-88.2844633435677,11.2626238487159
O2,22.8194553004283,-85.7612550070986,6.7290117698782
O9,-21.763739191023802,-83.6219112734283,-21.3240617942261
O10,21.761296090223,-83.6016115901258,-21.4059928993586
T3,-86.9147748841962,-16.5428173400475,-9.6517926461001
T5,-62.4735128938322,-63.3518678379827,-2.1450007326219
T4,87.1206375790449,-15.3805788750166,-9.7176283778558
T6,62.90807186048231,-62.9189216874697,-2.1871873450754
