label,x,y,z
Fp1,-29.0391959324429,82.78390950692199,-6.8956092078180005
Fpz,0.1119644936104,87.98335411966029,-1.7078822578328
Fp2,29.11910377142,82.7553459850126,-6.9014858146729
AF9,-45.993654309492506,60.1910632961542,-44.784145213873
AF7,-54.5666779762283,68.2308100795868,-10.5372771872978
AF5,-46.4477265331332,74.49331707859359,6.1118254663712
AF3,-34.2667621929742,78.1277134687939,21.58354458721229
AF1,-18.406968237695,79.62408607554269,32.6372247124513
AFz,0.2307883886611,80.5923430201184,35.3386613109103
AF2,19.6053744726105,79.431129718628,32.408716781310595
AF4,35.5867230551569,77.4525885342814,21.8787950201758
AF6,46.85708321995629,74.2399955968403,6.0693332334974
AF8,54.58868024093911,68.2139877224176,-10.5322299898158
AF10,46.973237987369096,59.485663100486704,-44.7098512464242
F9,-64.51118582327139,38.3304769951548,-45.9682655426465
F7,-74.5911778535149,45.090767183016204,-12.1234855248949
F5,-69.0517437543596,51.4524170453758,18.1247197128945
F3,-52.3793865431805,55.3686638863336,43.985348978976
F1,-27.6853446084752,57.32355932322631,60.757972649081495
Fz,0.3102639053696,58.1491403939373,66.0498388170266
F2,29.5331247962739,57.638834906671896,59.57817763551631
F4,53.3827930340256,55.9250465727455,42.0317329374206
F6,69.64813371579349,51.101914012355,16.7848697993408
F8,74.4575069081445,45.281881993255,-12.2323680525297
F10,65.0561084159464,37.949524377356106,-45.5141335994116
FT9,-74.6464186580488,12.9335133435074,-44.7731662284524
FT7,-85.8971312435324,15.0157011736063,-11.8410963342214
FC5,-81.7537087165441,19.7391813978279,25.8977958296477
FC3,-62.314494308961,23.5211669226332,57.5122465707618
FC1,-33.0314298215371,25.2241896145248,77.5671638145638
FCz,0.3566356237135,25.9724800146611,84.07914778897279
FC2,33.9700514777901,25.8191766917835,76.96366491763989
FC4,63.1389674021393,24.0449278633986,56.3853903013498
FC6,81.80332927339461,20.504495950738303,25.1352534420232
FT8,85.68826506204711,16.1465337814421,-11.8663674939345
FT10,74.63615294849971,12.7462422174347,-44.8439291586124
T9,-75.7399870296549,-13.9574840727861,-42.5751453679918
T7,-85.9382043798794,-16.3569429879121,-9.5433455377169
C5,-81.6598029477064,-13.9961757723216,29.6611470832138
C3,-62.2051317265647,-11.0705701466824,61.2532779817384
C1,-32.7102685465714,-9.0319168688012,81.19398259283909
Cz,0.3504681424625,-8.0138225541391,87.6336454802143
C2,34.323834515899705,-8.7687411277466,80.55422746920041
C4,63.44692096223189,-10.3041136949251,60.102524584033496
C6,82.206252158276,-12.5849908688275,28.7706466893164
T8,86.14175401074101,-15.2077633820389,-9.6084415421495
T10,75.6022638851812,-14.4571384504261,-42.6531223154957
TP9,-70.0061046067151,-38.0325085255407,-37.3720967173149
TP7,-77.144273478573,-41.8519655824087,-6.416700581453401
CP5,-72.01349511048751,-42.1181800080884,28.002061259451
CP3,-54.43729237967021,-40.2640779344492,56.2084088589858
CP1,-28.7254163803038,-38.2529128382396,73.86179738652599
CPz,0.3083106581906999,-37.8140065429488,79.4607189352568
CP2,30.9448015044177,-37.950065801135,73.1177937682867
CP4,56.1130427336907,-39.2866608705916,55.2438658387167
CP6,73.1709031296985,-40.4848881859629,27.4042471845948
TP8,77.468118773984,-41.2432285432026,-6.4565217379847
TP10,69.9778814507824,-38.2005789967478,-37.2533471244326
P9,-57.574651676709294,-58.1711437198908,-32.3307519650473
P7,-61.77156331075541,-62.640049098230094,-2.1208996007947
P5,-56.0602219034866,-63.5755514702534,23.651654812824297
P3,-42.324461342244994,-62.9092822184969,44.6661189588073
P1,-22.0945878236489,-62.16442437851951,58.2358440360436
Pz,0.2467923901842,-61.652493778245294,62.7925879737376
P2,24.2814551803904,-61.2268884497536,58.3581962117072
P4,43.8683508992272,-61.909659101643605,44.5731073552265
P6,56.5529361178682,-63.2310570099076,23.4008300249829
P8,62.201239592387,-62.211967511206,-2.1626122063666
P10,57.7173569325695,-58.104458065611205,-32.1959416948782
PO9,-41.0065633631684,-73.2189221646386,-26.484923979333
PO7,-43.11818879093629,-76.6811767343702,2.1952061455477
PO5,-37.8431007370063,-77.63367025084041,16.879365212962902
PO3,-28.3045252641744,-78.1836208969048,28.8127623288499
PO1,-14.7098629521718,-78.9037408507423,36.0807374049813
POz,0.1663924817168,-78.85737939176491,39.057470847525295
PO2,15.3955854895392,-78.8406464430649,35.9322754062962
PO4,28.5556910411322,-78.2950100424193,28.2571037373059
PO6,38.6847530728479,-77.2195646403772,16.870942962483998
PO8,43.577005087597705,-76.4230163038022,2.1371023897479
PO10,41.0303053323374,-73.1930068485412,-26.5197623067128
O1,-22.2049231885141,-84.89060794145641,6.6727857392643
Oz,0.0817521962499197,-87.2925030812804,11.1360775133371
O2,22.5630569262662,-84.7976454002773,6.6534048960594
O9,-21.519202795619,-82.68233923664819,-21.084465594291
O10,21.516787145389,-82.66226763967501,-21.1654761252085
T3,-85.9382043798794,-16.3569429879121,-9.5433455377169
T5,-61.77156331075541,-62.640049098230094,-2.1208996007947
T4,86.14175401074101,-15.2077633820389,-9.6084415421495
T6,62.201239592387,-62.211967511206,-2.1626122063666
Fp1_L1,-21.449406086463508,61.14720588579465,-5.093347710320114
Fpz_L1,0.08270104641677277,64.98770474747639,-1.2615039404446824
Fp2_L1,21.508428922071595,61.12610782983886,-5.097688385837938
