label,x,y,z
Fp1,-29.3691867953116,83.7246357513188,-6.9739684033613
Fpz,0.1132368174014,88.9831649619292,-1.7272900107628
Fp2,29.4500026779134,83.6957476439332,-6.9799117898396
AF9,-46.5163094721004,60.8750526517923,-45.2930559549397
AF7,-55.1867538623218,69.0061601941276,-10.6570189735171
AF5,-46.975541607373394,75.3398320453958,6.181278028489
AF3,-34.6561572178944,79.0155283945757,21.8288121393397
AF1,-18.6161383313052,80.52890523549209,33.0081022660019
AFz,0.2334109839868,81.50816509989251,35.7402370076252
AF2,19.8281628188902,80.3337561927033,32.776997653825504
AF4,35.9911176353291,78.3327315858073,22.1274176908596
AF6,47.3895500747285,75.0836319104407,6.1383029293326
AF8,55.2090061527679,68.9891466738087,-10.6519144215183
AF10,47.507024782680105,60.1616365448104,-45.2179177378608
F9,-65.244267480354,38.766050597372505,-46.4906321965402
F7,-75.4388048745776,45.603162264641405,-12.2612524058596
F5,-69.83642266065911,52.0371036027096,18.330682436904706
F3,-52.974606844807504,55.997853248678304,44.4851824901007
F1,-27.999950797207894,57.9749634064448,61.4484041564574
Fz,0.313789631567,58.809926080232,66.8004051672201
F2,29.8687284871407,58.293821666975,60.2552023813744
F4,53.98941568213949,56.5605584656176,42.5093662662549
F6,70.4395897807457,51.6826175806772,16.9756069561515
F8,75.3036149411916,45.7964488340874,-12.3713722349448
F10,65.7953823752185,38.3807689725533,-46.0313396630413
FT9,-75.49467341552659,13.0804850860473,-45.2819522083212
FT7,-86.8732350076635,15.1863341414882,-11.9756542471103
FC5,-82.6827281337775,19.9634902773487,26.1920889640755
FC3,-63.022613562471896,23.7884529103904,58.1657948272477
FC1,-33.4067869786,25.510828132871698,78.44860885791111
FCz,0.3606883012557,26.2676218330095,85.0345926502111
FC2,34.3560747900377,26.1125764269174,77.8382520189767
FC4,63.8564556680727,24.3181656800281,57.026133372956
FC6,82.7329125605923,20.737501586542106,25.420881322046203
FT8,86.6619953468431,16.330017119867602,-12.0012125790928
FT10,75.4842910501872,12.8910858789965,-45.3535192626875
T9,-76.6006687004464,-14.1160918463405,-43.0589538380826
