label,x,y,z
LA_01,-33.1907265583847,16.2935887274778,-21.5470414922979
LA_02,-36.690726558384696,15.6935887274778,-21.7470414922979
LA_03,-40.1907265583847,15.0935887274778,-21.8470414922979
LA_04,-43.790726558384705,14.3935887274778,-22.0470414922979
LA_05,-47.2907265583847,13.793588727477799,-22.2470414922979
LA_06,-50.7907265583847,13.193588727477799,-22.347041492297897
LA_07,-54.2907265583847,12.5935887274778,-22.5470414922979
LA_08,-57.7907265583847,11.9935887274778,-22.6470414922979
LA_09,-61.290726558384705,11.3935887274778,-22.847041492297897
LA_10,-64.8907265583847,10.6935887274778,-23.0470414922979
LA_11,-68.3907265583847,10.093588727477801,-23.1470414922979
LA_12,-71.8907265583847,9.4935887274778,-23.3470414922979
LAM_01,-33.3907265583847,-36.9064112725221,2.3529585077019997
LAM_02,-36.190726558384696,-38.6064112725221,4.352958507702
LAM_03,-39.0907265583847,-40.306411272522105,6.352958507702
LAM_04,-41.8907265583847,-41.9064112725221,8.452958507702
LAM_05,-44.790726558384705,-43.6064112725221,10.452958507702
LAM_06,-47.5907265583847,-45.3064112725221,12.452958507702
LAM_07,-50.4907265583847,-47.0064112725221,14.452958507702
LAM_08,-53.290726558384705,-48.606411272522095,16.552958507702
LAM_09,-56.1907265583847,-50.3064112725221,18.552958507702
LB_01,-35.2907265583847,9.693588727477799,-29.5470414922979
LB_02,-38.2907265583847,9.0935887274778,-28.4470414922979
LB_03,-41.2907265583847,8.4935887274778,-27.4470414922979
LB_04,-44.3907265583847,7.7935887274777995,-26.347041492297897
LB_05,-47.3907265583847,7.1935887274778,-25.247041492297903
LB_06,-50.390726558384706,6.5935887274778,-24.1470414922979
LB_07,-53.3907265583847,5.9935887274778,-23.1470414922979
LB_08,-56.3907265583847,5.3935887274778,-22.0470414922979
LB_09,-59.4907265583847,4.6935887274778,-20.9470414922979
LB_10,-62.4907265583847,4.0935887274778,-19.9470414922979
LB_11,-65.4907265583847,3.4935887274778,-18.847041492297897
LB_12,-68.49072655838471,2.8935887274778,-17.7470414922979
LB_13,-71.5907265583847,2.1935887274778,-16.6470414922979
LB_14,-74.5907265583847,1.5935887274778,-15.6470414922979
LB_15,-77.5907265583847,0.9935887274777999,-14.5470414922979
LC_01,-40.6907265583847,-9.6064112725221,-9.347041492297901
LC_02,-43.4907265583847,-11.506411272522099,-8.7470414922979
LC_03,-46.3907265583847,-13.506411272522099,-8.0470414922979
LC_04,-49.190726558384696,-15.406411272522101,-7.4470414922979
LC_05,-51.9907265583847,-17.306411272522098,-6.8470414922979
LC_06,-54.8907265583847,-19.3064112725221,-6.1470414922979
LC_07,-57.690726558384696,-21.2064112725221,-5.5470414922979
LC_08,-60.590726558384695,-23.206411272522097,-4.8470414922979
LC_09,-63.39072655838469,-25.106411272522102,-4.2470414922979005
LC_10,-66.19072655838471,-27.0064112725221,-3.6470414922979
LC_11,-69.0907265583847,-29.0064112725221,-2.9470414922979
LC_12,-71.8907265583847,-30.9064112725221,-2.3470414922979
LK_01,-26.3907265583847,-38.9064112725221,7.352958507702
LK_02,-29.790726558384698,-39.5064112725221,7.6529585077019995
LK_03,-33.1907265583847,-40.2064112725221,7.952958507702
LK_04,-36.590726558384695,-40.806411272522105,8.252958507702
